,Empresa,Breve descrição / o que faz,Vertical sugerido,Driver sugerido,Justificativa,
,4D imobi,"A startup 4D imobi é uma empresa que oferece soluções digitais para a gestão de condomínios, utilizando tecnologia para otimizar a comunicação e os serviços, como envio de boletos via WhatsApp, gestão de reservas de áreas comuns, e administração financeira. ",Imóvel Inteligente,Gestão,"Empresa que oferece soluções digitais para gestão de condomínios, integrando comunicação, reservas e finanças via WhatsApp e aplicativos próprios.",
,,,,,,
,Rede Síndicos,"A REDESINDICOS, através de uma plataforma  - Marketing Digital, com uma base de dados de fornecedores e prestadores de serviços para condomínios sendo possível localizar rapidamente a melhor empresa e, até,  solicitar orçamentos de acordo com a necessidade do condomínio, obter descontos especiais, comprar serviços/produtos  online e, ainda,  avaliá-los.",Economia Compartilhada,Transações,"Plataforma que conecta condomínios a fornecedores e prestadores de serviço, integrando marketing digital, marketplace e base de dados — digitaliza o relacionamento comercial no ecossistema condominial.",
,concessus,"Importam, comercializam e prestam assistência para uma vasta gama de equipamentos nas áreas da Saúde Humana e Veterinária, Investigação, Controlo de Qualidade e Indústria.",-,-,"Atua em importação e comercialização de equipamentos nas áreas da saúde e indústria, sem relação direta com o setor imobiliário ou urbano.",
,Engelink,"A startup Engelink é um marketplace e plataforma tecnológica que conecta empresas de engenharia e prestadores de serviços a clientes do setor predial, como condomínios, incorporadoras e shoppings, facilitando o processo de cotação e o acesso a oportunidades de negócio no setor de engenharia, reformas e facilities. Fundada em 2018, a Engelink atua como um intermediário, apresentando as soluções de engenharia dos fornecedores para quem precisa desses serviços. ",Economia Compartilhada,Transações,"Marketplace que conecta empresas de engenharia a condomínios e incorporadoras, digitalizando o processo de cotação e contratação de serviços técnicos.",
,Casa do Síndico,"A Casa do Síndico assessora na contratação de sua obra, desde o orçamento até a sua finalização, passando pela contratualização, o acompanhamento semanal por profissionais com conhecimento técnico, a fiscalização da execução dos serviços propriamente ditos, seja na qualidade dos acabamentos ou prazos de entrega, oferecendo garantias sem custo ao seu condomínio.",Imóvel Inteligente,Gestão,"Oferece assessoria técnica e gestão de obras condominiais, do orçamento à execução, integrando fiscalização e garantia — modelo híbrido entre serviço técnico e gestão.",
,SUPPLAI,"Uma plataforma que une fornecedores de serviços condominiais a síndicos e administradoras. Síndicos Encontre, contrate e avalie o fornecedor por uma mesma plataforma de forma rápida e segura. Em sua cotação de fornecedores, é possível ver uma lista de centenas de fornecedores, seus preços, certificados e avaliações sobre os serviços. Fornecedores Com a Supplai, fique imediatamente à disposição de milhares de condomínios e faça as suas propostas de trabalho com mais tranquilidade e o nosso suporte de qualidade. Agora ficou muito mais fácil oferecer e prestar serviços. Administradoras Agora os seus condomínios tem tudo num único lugar! Com a Supplai, as administradoras vão poder oferecer aos síndicos vantagens exclusivas, acesso a milhares de fornecedores qualificados e selecionados cuidadosamente após uma análise técnica, ranking de satisfação de fornecedores, número ilimitado de cotações, contratação de serviços totalmente on-line e sem burocracia, mais economia, além de procedimentos financeiros e de segurança unificados na mesma plataforma.",Economia Compartilhada,Transações,"Plataforma digital que conecta síndicos, administradoras e fornecedores em um ecossistema condominial, com contratação e avaliação de serviços 100% online.",
,,,,,,
,Presto,"Empresa de prestação de serviços, com o objetivo de facitar tarefas diárias.",Imóvel Inteligente,Gestão,"Empresa de prestação de serviços gerais voltada à manutenção e operação predial, sem mediação tecnológica expressiva.",
,market4u,"A startup market4u é uma empresa brasileira pioneira e líder no segmento de minimercados autônomos, também conhecidos como honest markets, instalados em condomínios residenciais e comerciais e em empresas. A tecnologia própria do market4u permite que os consumidores façam suas compras de forma autônoma, utilizando um aplicativo para abrir a porta e efetuar o pagamento, oferecendo comodidade e praticidade. ",Imóvel Inteligente,Informação,"Startup pioneira em minimercados autônomos instalados em condomínios, baseada em tecnologia IoT e pagamento digital — promove a automação dos serviços cotidianos do espaço habitado.",
,eletro moove,Instalação de pontos de recarga para veiculos elétricos em condomínios.,Imóvel Inteligente,Gestão,"Startup voltada à instalação de pontos de recarga para veículos elétricos em condomínios, integrando infraestrutura energética inteligente ao ambiente residencial.",
,Trela,"A startup Trela é um marketplace de alimentos que conecta produtores a consumidores, utilizando tecnologia e inteligência artificial para otimizar a cadeia de suprimentos, reduzir desperdícios e oferecer produtos saudáveis com preços justos e entrega eficiente. Criada em 2020, a empresa iniciou como uma plataforma de compras coletivas em condomínios e evoluiu para um mercado online completo, que também cuida da logística e oferece produtos selecionados por nutricionistas. ",Economia Compartilhada,Transações,"Marketplace de alimentos que conecta produtores e consumidores em condomínios, otimizando logística e reduzindo desperdício via IA — modelo de economia compartilhada aplicada ao espaço urbano.",
,rentbrella,"A Rentbrella é uma startup e a maior empresa do mundo de compartilhamento de guarda-chuvas, oferecendo um serviço de aluguer de guarda-chuvas em máquinas inteligentes instaladas em locais estratégicos de cidades do Brasil e do mundo. Os usuários podem retirar e devolver os guarda-chuvas através de um aplicativo após se cadastrarem, com as primeiras 24 horas de uso gratuitas",Economia Compartilhada,Gestão,"Startup de compartilhamento de guarda-chuvas via máquinas inteligentes, exemplo de microserviço urbano com base em tecnologia e uso compartilhado de recursos físicos.",
,2u,,-,-,"Insuficientemente descrita; não há elementos que indiquem relação direta com o mercado imobiliário, gestão de espaços ou serviços urbanos digitais.",
,wali,"A Wali é uma startup e plataforma tecnológica focada em mobilidade urbana e gestão de frotas, que oferece soluções digitais para aluguel de carros e outros veículos (scooters, e-bikes) através de um aplicativo, tanto para usuários finais em planos por hora, dia ou mês, quanto para empresas que desejam gerir suas próprias frotas ou oferecer serviços de mobilidade aos seus clientes e colaboradores. ",Economia Compartilhada,Gestão,Plataforma de mobilidade compartilhada e gestão de frotas com planos flexíveis e foco em eficiência e tecnologia. Atua na interface entre o espaço urbano e o consumo de mobilidade.,
,market wow,"A market wow surgiu com o propósito de oferecer um modelo de negócio acessível a empreendedores de todos os tipos. Identificamos uma crescente demanda por mercados autônomos e desenvolvemos uma franquia que minimiza riscos, com as menores taxas de franquia e royalties do mercado, porém com uma infraestrutura completa a nossos franqueados",Imóvel Inteligente,Gestão,"Modelo de franquia de minimercados autônomos, aplicando tecnologia para operação de mercados sem atendentes, especialmente em condomínios e empresas.",
,armários inteligentes,"A Armários Inteligentes oferece diversas soluções em smart lockers. Seja para entrega ou recebimento de encomendas, para guarda de volumes ou para controle de itens e ativos.",Imóvel Inteligente,Informação,"Solução de smart lockers para recebimento de encomendas, guarda-volumes e controle de ativos. Promove automação de serviços cotidianos no ambiente residencial e corporativo.",
,,,,,,
,TECNORISE,"A Tecnorise é uma empresa de tecnologia que desenvolve o GEAR, uma plataforma completa para a gestão de condomínios, oferecendo soluções integradas para controle de acesso, comunicação, portaria remota e autônoma, e gestão administrativa. A plataforma visa aumentar a eficiência e a segurança em condomínios, além de fornecer ferramentas que permitem a empresas de portaria remota escalar seus negócios e oferecer serviços mais completos aos seus clientes. ",Imóvel Inteligente,Gestão,"Desenvolve o GEAR, plataforma completa para gestão e controle de acesso condominial, portaria remota e automação de processos. Representa o avanço da infraestrutura de segurança digital em condomínios.",
